
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server
  2026-05-19 13:49:34 /api/auth/me ....................................................................... ~ 506.37ms
  2026-05-19 13:49:35 /api/auth/me ......................................................................... ~ 0.21ms
  2026-05-19 13:49:35 /api/references .................................................................... ~ 501.39ms
  2026-05-19 13:49:35 /api/references ...................................................................... ~ 0.25ms
  2026-05-19 13:49:35 /api/properties .................................................................... ~ 514.14ms
  2026-05-19 13:49:36 /api/dashboard ....................................................................... ~ 0.24ms
  2026-05-19 13:49:36 /api/properties .................................................................... ~ 517.25ms
  2026-05-19 13:49:36 /api/dashboard ..................................................................... ~ 516.94ms
  2026-05-19 13:52:04 /api/auth/me ......................................................................... ~ 0.35ms
  2026-05-19 13:52:04 /api/auth/me ....................................................................... ~ 502.46ms
  2026-05-19 13:52:04 /api/references ...................................................................... ~ 0.26ms
  2026-05-19 13:52:05 /api/references ...................................................................... ~ 0.28ms
  2026-05-19 13:52:05 /api/properties .................................................................... ~ 515.78ms
  2026-05-19 13:52:05 /api/dashboard ....................................................................... ~ 0.15ms
  2026-05-19 13:52:05 /api/properties ...................................................................... ~ 1.17ms
  2026-05-19 13:52:05 /api/dashboard ..................................................................... ~ 514.47ms
  2026-05-19 13:52:09 /api/properties ...................................................................... ~ 0.38ms
  2026-05-19 13:52:09 /api/dashboard ..................................................................... ~ 501.15ms
  2026-05-19 13:52:09 /api/properties .................................................................... ~ 502.27ms
  2026-05-19 13:52:09 /api/dashboard ..................................................................... ~ 513.78ms
  2026-05-19 13:52:15 /api/properties/2/dossier ............................................................ ~ 0.60ms
  2026-05-19 13:52:15 /api/properties/2/dossier ............................................................ ~ 0.28ms
  2026-05-19 13:59:20 /api/properties .................................................................... ~ 505.89ms
  2026-05-19 13:59:20 /api/dashboard ..................................................................... ~ 513.40ms
  2026-05-19 13:59:20 /api/properties .......................................................................... ~ 1s
  2026-05-19 13:59:21 /api/dashboard ..................................................................... ~ 504.52ms
  2026-05-19 13:59:32 /api/properties .................................................................... ~ 501.40ms
  2026-05-19 13:59:32 /api/dashboard ....................................................................... ~ 0.20ms
  2026-05-19 13:59:32 /api/properties .................................................................... ~ 516.58ms
  2026-05-19 13:59:33 /api/dashboard ..................................................................... ~ 516.66ms
  2026-05-19 14:07:56 /api/auth/me ............................................................................. ~ 1s
  2026-05-19 14:07:57 /api/auth/me ....................................................................... ~ 514.31ms
  2026-05-19 14:07:58 /api/references .................................................................... ~ 513.21ms
  2026-05-19 14:07:58 /api/references ...................................................................... ~ 0.29ms
  2026-05-19 14:07:58 /api/properties ...................................................................... ~ 0.52ms
  2026-05-19 14:07:59 /api/dashboard ..................................................................... ~ 501.94ms
  2026-05-19 14:07:59 /api/properties .................................................................... ~ 504.91ms
  2026-05-19 14:07:59 /api/dashboard ..................................................................... ~ 517.00ms
  2026-05-19 14:08:04 /api/properties/1/dossier ............................................................ ~ 0.44ms
  2026-05-19 14:08:04 /api/properties/1/dossier .......................................................... ~ 516.11ms
  2026-05-19 14:09:43 /api/auth/me ....................................................................... ~ 504.28ms
  2026-05-19 14:09:44 /api/auth/me ......................................................................... ~ 0.27ms
  2026-05-19 14:09:44 /api/references .................................................................... ~ 501.55ms
  2026-05-19 14:09:44 /api/references ...................................................................... ~ 0.20ms
  2026-05-19 14:09:45 /api/properties ...................................................................... ~ 0.18ms
  2026-05-19 14:09:45 /api/dashboard ..................................................................... ~ 504.59ms
  2026-05-19 14:09:45 /api/properties .................................................................... ~ 505.78ms
  2026-05-19 14:09:45 /api/dashboard ..................................................................... ~ 505.55ms
  2026-05-19 14:09:53 /api/properties ...................................................................... ~ 0.41ms
  2026-05-19 14:09:53 /api/dashboard ..................................................................... ~ 506.68ms
  2026-05-19 14:09:53 /api/properties .................................................................... ~ 508.00ms
  2026-05-19 14:09:53 /api/dashboard ..................................................................... ~ 504.58ms
  2026-05-19 14:11:47 /api/properties/2/dossier .......................................................... ~ 507.32ms
  2026-05-19 14:11:47 /api/properties/2/dossier ............................................................ ~ 0.18ms
  2026-05-19 14:12:31 /api/properties/1/dossier ............................................................ ~ 0.89ms
  2026-05-19 14:12:31 /api/properties/1/dossier .......................................................... ~ 504.49ms
  2026-05-19 14:21:42 /api/auth/me ....................................................................... ~ 507.15ms
  2026-05-19 14:21:42 /api/auth/me ....................................................................... ~ 505.77ms
  2026-05-19 14:21:42 /api/references .................................................................... ~ 515.40ms
  2026-05-19 14:21:43 /api/auth/me ......................................................................... ~ 0.53ms
  2026-05-19 14:21:43 /api/references .................................................................... ~ 514.91ms
  2026-05-19 14:21:43 /api/auth/me ............................................................................. ~ 1s
  2026-05-19 14:21:44 /api/properties ...................................................................... ~ 0.36ms
  2026-05-19 14:21:44 /api/dashboard ..................................................................... ~ 516.15ms
  2026-05-19 14:21:44 /api/references .......................................................................... ~ 1s
  2026-05-19 14:21:45 /api/properties .................................................................... ~ 504.92ms
  2026-05-19 14:21:45 /api/auth/me ....................................................................... ~ 518.74ms
  2026-05-19 14:21:45 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:21:46 /api/references .......................................................................... ~ 1s
  2026-05-19 14:21:46 /api/auth/me ............................................................................. ~ 1s
  2026-05-19 14:21:46 /api/auth/me ....................................................................... ~ 506.78ms
  2026-05-19 14:21:47 /api/properties/2/dossier ............................................................ ~ 1.93ms
  2026-05-19 14:21:47 /api/properties .................................................................... ~ 514.22ms
  2026-05-19 14:21:47 /api/dashboard ..................................................................... ~ 514.21ms
  2026-05-19 14:21:47 /api/references .................................................................... ~ 505.31ms
  2026-05-19 14:21:48 /api/auth/me ....................................................................... ~ 505.84ms
  2026-05-19 14:21:48 /api/properties/2/dossier .......................................................... ~ 502.40ms
  2026-05-19 14:21:48 /api/properties .......................................................................... ~ 1s
  2026-05-19 14:21:49 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:21:49 /api/references .................................................................... ~ 505.53ms
  2026-05-19 14:21:49 /api/references .................................................................... ~ 502.21ms
  2026-05-19 14:21:50 /api/properties/2/dossier .......................................................... ~ 502.06ms
  2026-05-19 14:21:50 /api/properties ...................................................................... ~ 1.50ms
  2026-05-19 14:21:50 /api/dashboard ..................................................................... ~ 516.67ms
  2026-05-19 14:21:50 /api/references .................................................................... ~ 517.04ms
  2026-05-19 14:21:50 /api/properties/2/dossier .......................................................... ~ 503.85ms
  2026-05-19 14:21:51 /api/properties .......................................................................... ~ 1s
  2026-05-19 14:21:51 /api/dashboard ..................................................................... ~ 505.17ms
  2026-05-19 14:21:52 /api/properties .................................................................... ~ 517.02ms
  2026-05-19 14:21:52 /api/dashboard ..................................................................... ~ 516.60ms
  2026-05-19 14:21:52 /api/properties/2/dossier ............................................................ ~ 1.38ms
  2026-05-19 14:21:52 /api/properties .................................................................... ~ 502.37ms
  2026-05-19 14:21:52 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:21:53 /api/properties/2/dossier .......................................................... ~ 507.58ms
  2026-05-19 14:21:53 /api/properties/2/dossier .......................................................... ~ 501.90ms
  2026-05-19 14:21:53 /api/properties/2/dossier ............................................................ ~ 0.19ms
  2026-05-19 14:22:02 /api/auth/me ....................................................................... ~ 516.28ms
  2026-05-19 14:22:03 /api/auth/me ....................................................................... ~ 512.64ms
  2026-05-19 14:22:03 /api/references ...................................................................... ~ 0.21ms
  2026-05-19 14:22:03 /api/references .................................................................... ~ 514.72ms
  2026-05-19 14:22:03 /api/properties ...................................................................... ~ 0.38ms
  2026-05-19 14:22:04 /api/dashboard ..................................................................... ~ 516.35ms
  2026-05-19 14:22:04 /api/properties .................................................................... ~ 518.16ms
  2026-05-19 14:22:04 /api/dashboard ..................................................................... ~ 503.68ms
  2026-05-19 14:22:05 /api/properties/2/dossier .......................................................... ~ 514.74ms
  2026-05-19 14:22:05 /api/properties/2/dossier ............................................................ ~ 0.23ms
  2026-05-19 14:25:09 /api/auth/me ....................................................................... ~ 504.34ms
  2026-05-19 14:25:09 /api/auth/me ......................................................................... ~ 0.42ms
  2026-05-19 14:25:09 /api/references .................................................................... ~ 500.71ms
  2026-05-19 14:25:09 /api/references ...................................................................... ~ 0.36ms
  2026-05-19 14:25:10 /api/properties .................................................................... ~ 514.58ms
  2026-05-19 14:25:10 /api/dashboard ....................................................................... ~ 0.22ms
  2026-05-19 14:25:10 /api/properties .................................................................... ~ 513.14ms
  2026-05-19 14:25:10 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:25:11 /api/properties/2/dossier ............................................................ ~ 0.20ms
  2026-05-19 14:25:11 /api/properties/2/dossier .......................................................... ~ 509.45ms
  2026-05-19 14:25:19 /api/auth/me ....................................................................... ~ 508.55ms
  2026-05-19 14:25:19 /api/auth/me ......................................................................... ~ 0.54ms
  2026-05-19 14:25:19 /api/references .................................................................... ~ 515.58ms
  2026-05-19 14:25:20 /api/references .................................................................... ~ 523.09ms
  2026-05-19 14:25:20 /api/properties .................................................................... ~ 504.26ms
  2026-05-19 14:25:21 /api/dashboard ..................................................................... ~ 504.41ms
  2026-05-19 14:25:21 /api/properties .......................................................................... ~ 1s
  2026-05-19 14:25:21 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:25:22 /api/properties/2/dossier ............................................................ ~ 0.87ms
  2026-05-19 14:25:22 /api/properties/2/dossier ................................................................ ~ 1s
  2026-05-19 14:26:11 /api/auth/me ......................................................................... ~ 0.60ms
  2026-05-19 14:26:12 /api/auth/me ....................................................................... ~ 514.51ms
  2026-05-19 14:26:12 /api/references .................................................................... ~ 511.03ms
  2026-05-19 14:26:12 /api/references ...................................................................... ~ 0.25ms
  2026-05-19 14:26:13 /api/properties .................................................................... ~ 504.92ms
  2026-05-19 14:26:13 /api/dashboard ....................................................................... ~ 0.36ms
  2026-05-19 14:26:13 /api/properties .................................................................... ~ 503.67ms
  2026-05-19 14:26:13 /api/dashboard ..................................................................... ~ 503.79ms
  2026-05-19 14:26:14 /api/properties/2/dossier .......................................................... ~ 514.27ms
  2026-05-19 14:26:14 /api/properties/2/dossier ............................................................ ~ 0.27ms
  2026-05-19 14:28:07 /api/auth/me ......................................................................... ~ 0.95ms
  2026-05-19 14:28:07 /api/auth/me ....................................................................... ~ 503.61ms
  2026-05-19 14:28:08 /api/references ...................................................................... ~ 0.20ms
